"","LATITUDE","LONGITUDE","NumInj"
"1",40.7985932,-73.9335177,1
"2",40.7476292,-73.9767362,2
"3",40.7125314,-74.0076652,1
"4",40.7171751,-74.0128675,1
"5",40.7207095,-73.9813092,2
"6",40.759308,-73.9652931,1
"7",40.720982,-73.9869514,1
"8",40.7583082,-73.9629257,1
"9",40.8262867,-73.9480408,1
"10",40.7833091,-73.9528011,1
"11",40.8089731,-73.9483252,1
"12",40.7332923,-73.9871799,3
"13",40.7491572,-73.9726934,1
"14",40.7291862,-73.9872492,1
"15",40.756133,-73.9676048,3
"16",40.7240998,-73.9844253,1
"17",40.7871634,-73.9716812,1
"18",40.8123366,-73.9511549,1
"19",40.7129042,-73.9869277,1
"20",40.7311545,-74.0089265,1
"21",40.7452427,-73.9847921,2
"22",40.7909397,-73.9472305,1
"23",40.7124628,-73.9924034,1
"24",40.749824,-73.9722023,1
"25",40.7209279,-73.9976262,1
"26",40.8106857,-73.954512,1
"27",40.770415,-73.9876168,1
"28",40.7690154,-73.9728658,1
"29",40.7367906,-73.9784973,1
"30",40.7889594,-73.9759417,1
"31",40.8240317,-73.9447582,1
"32",40.7178702,-73.9971068,1
"33",40.7548409,-73.9841185,3
"34",40.7590196,-73.9646255,1
"35",40.7606005,-73.9643142,1
"36",40.8109414,-73.9431723,1
"37",40.8679602,-73.9203166,2
"38",40.7077552,-74.0117043,1
"39",40.8516576,-73.9349865,1
"40",40.7365314,-73.9907516,1
"41",40.7655201,-73.9800367,1
"42",40.7237466,-74.0061151,1
"43",40.7500991,-73.9749344,1
"44",40.8216382,-73.9390768,3
"45",40.7278664,-73.9931449,7
"46",40.7109059,-74.014457,1
"47",40.7750436,-73.9651477,1
"48",40.7180184,-73.9999567,1
"49",40.7577007,-73.9693944,2
"50",40.8378034,-73.9421411,1
"51",40.7495397,-73.9774357,1
"52",40.8112661,-73.9578098,3
"53",40.7523789,-73.9703425,1
"54",40.8309615,-73.9494609,9
"55",40.7501114,-73.968907,1
"56",40.8270596,-73.9520112,1
"57",40.7590602,-73.9726136,1
"58",40.7494844,-73.9753821,2
"59",40.7197776,-74.0068074,1
"60",40.7557562,-73.964786,1
"61",40.7770056,-73.9637277,1
"62",40.7047603,-74.0149606,1
"63",40.7410249,-73.9959511,1
"64",40.7155672,-73.994066,1
"65",40.7284471,-73.9817905,1
"66",40.74478,-73.9758819,1
"67",40.7662396,-73.9602318,1
"68",40.7095234,-74.0016664,1
"69",40.7642891,-73.9556159,1
"70",40.7251925,-73.9870443,1
"71",40.7124628,-73.9924034,1
"72",40.754584,-73.9991446,1
"73",40.8122008,-73.9422501,2
"74",40.7497339,-73.9740683,1
"75",40.742089,-73.9849769,1
"76",40.7567111,-73.993871,1
"77",40.7653957,-73.9756037,1
"78",40.7774317,-73.9507147,1
"79",40.8402559,-73.9396886,1
"80",40.8151131,-73.9550003,1
"81",40.8636899,-73.9170643,1
"82",40.7521198,-73.9776766,1
"83",40.7309969,-73.9816815,1
"84",40.7463915,-73.9776353,2
